date,pricePerSquareMeter,price,size,floor,numberOfRooms,location,address,type
2 feb 2017,98 182 kr/m²,4 320 000 kr,44 m²,2½ tr,2 rum,Atlas,Vulcanusgatan 8,Lägenhet
2 feb 2017,96 491 kr/m²,5 500 000 kr,57 m²,5 tr,2 rum,Vasastan,Tomtebogatan 44,Lägenhet
2 feb 2017,129 714 kr/m²,4 540 000 kr,35 m²,4 tr,1½ rum,Vasastan,Rådmansgatan 70B,Lägenhet
2 feb 2017,90 306 kr/m²,4 425 000 kr,49 m²,1 tr,2 rum,Vasastan,Vanadisvägen 7,Lägenhet
1 feb 2017,90 000 kr/m²,6 300 000 kr,70 m²,3 tr,2 rum,Vasastan,Hagagatan 18,Lägenhet
1 feb 2017,94 068 kr/m²,5 550 000 kr,59 m²,4 tr,2 rum,Vasastan,Döbelnsgatan 79,Lägenhet
1 feb 2017,82 143 kr/m²,6 325 000 kr,77 m²,1 tr,3 rum,Vasastan,Hagagatan 15A,Lägenhet
1 feb 2017,91 111 kr/m²,4 100 000 kr,45 m²,5 tr,2 rum,Vasastan,Sveavägen 135,Lägenhet
1 feb 2017,87 765 kr/m²,7 460 000 kr,85 m²,5 tr,2 rum,Vasastan,Frejgatan 47,Lägenhet
1 feb 2017,93 509 kr/m²,5 330 000 kr,57 m²,3 tr,2 rum,Vasastan,Upplandsgatan 71,Lägenhet
1 feb 2017,109 302 kr/m²,14 100 000 kr,129 m²,2½ tr,5 rum,Birkastan Vasastan,Karlbergsvägen 67,Lägenhet
1 feb 2017,76 667 kr/m²,12 650 000 kr,165 m²,4 tr,7 rum,Vasastan,Karlbergsvägen 41,Lägenhet
1 feb 2017,101 471 kr/m²,3 450 000 kr,34 m²,1½ tr,1 rum,Vasastan,Dalagatan 86B,Lägenhet
31 jan 2017,110 714 kr/m²,12 400 000 kr,112 m²,3 tr,4 rum,Vasastan Såld,Sankt Eriksgatan 82,Lägenhet
30 jan 2017,96 610 kr/m²,17 100 000 kr,177 m²,1½ tr,5 rum,Vasastan,Rörstrandsgatan 17,Lägenhet
30 jan 2017,107 258 kr/m²,6 650 000 kr,62 m²,2 tr,2 rum,Vasastan,Hälsingegatan 13,Lägenhet
29 jan 2017,103 721 kr/m²,4 460 000 kr,43 m²,4 tr,2 rum,Vasastan,Sveavägen 138,Lägenhet
28 jan 2017,80 282 kr/m²,5 700 000 kr,71 m²,1 tr,3 rum,Vasastan Norrmalm,Luntmakargatan 86,Lägenhet
28 jan 2017,70 088 kr/m²,3 995 000 kr,57 m²,1 tr,2 rum,Vasastan,Norrtullsgatan 63,Lägenhet
28 jan 2017,93 427 kr/m²,3 980 000 kr,43 m²,1 tr,1½ rum,Vasastan,Dalagatan 68,Lägenhet
28 jan 2017,86 667 kr/m²,7 800 000 kr,90 m²,4 tr,3 rum,Vasastan,Observatoriegatan 10,Lägenhet
28 jan 2017,79 273 kr/m²,4 360 000 kr,55 m²,1 tr,2 rum,Vasastan,Dalagatan 35A,Lägenhet
28 jan 2017,94 767 kr/m²,6 700 000 kr,71 m²,1 tr,2 rum,Vasastan,Teknologgatan 11,Lägenhet
28 jan 2017,78 922 kr/m²,4 025 000 kr,51 m²,5 tr,2 rum,Vasastan,Roslagsgatan 60,Lägenhet
27 jan 2017,100 652 kr/m²,11 575 000 kr,115 m²,2 tr,4 rum,Vasastan,Karlbergsvägen 36B,Lägenhet
26 jan 2017,112 253 kr/m²,2 840 000 kr,25 m²,3 tr,1 rum,Vasastan,Rådmansgatan 46,Lägenhet
26 jan 2017,78 824 kr/m²,13 400 000 kr,170 m²,3 tr,5½ rum,Vasastan,Rörstrandsgatan 14,Lägenhet
26 jan 2017,84 247 kr/m²,6 150 000 kr,73 m²,1 tr,2 rum,Vasastan,Falugatan 22,Lägenhet
26 jan 2017,99 531 kr/m²,6 370 000 kr,64 m²,4 tr,2 rum,Vasastan,Rörstrandsgatan 22,Lägenhet
26 jan 2017,84 470 kr/m²,11 150 000 kr,132 m²,3 tr,4 rum,Vasastan,Luntmakargatan 78,Lägenhet
26 jan 2017,89 437 kr/m²,6 350 000 kr,71 m²,4 tr,2 rum,Vasastan,Tomtebogatan 13B,Lägenhet
26 jan 2017,116 814 kr/m²,13 200 000 kr,113 m²,5 tr,4 rum,Vasastan,Västmannagatan 97,Lägenhet
26 jan 2017,104 505 kr/m²,11 600 000 kr,111 m²,4 tr,3½ rum,Vasastan,Rådmansgatan 73,Lägenhet
26 jan 2017,98 077 kr/m²,6 375 000 kr,65 m²,2 tr,2 rum,Östermalm,Frejgatan 15,Lägenhet
26 jan 2017,93 774 kr/m²,4 970 000 kr,53 m²,1 tr,2 rum,Östermalm,Valhallavägen 38A,Lägenhet
26 jan 2017,114 773 kr/m²,5 050 000 kr,44 m²,2 tr,2 rum,Vasastan,Falugatan 17,Lägenhet
25 jan 2017,94 118 kr/m²,8 000 000 kr,85 m²,4 tr,2 rum,Vasastan,Västmannagatan 86,Lägenhet
25 jan 2017,96 364 kr/m²,4 240 000 kr,44 m²,2 tr,2 rum,Vasastan,Norrtullsgatan 16B,Lägenhet
25 jan 2017,110 976 kr/m²,9 100 000 kr,82 m²,7 tr,3 rum,Vasastan,Birger Jarlsgatan 117,Lägenhet
25 jan 2017,111 024 kr/m²,14 100 000 kr,127 m²,4 tr,4 rum,Vasastan,Odengatan 48,Lägenhet
25 jan 2017,88 571 kr/m²,6 200 000 kr,70 m²,4 tr,2 rum,Vasastan,Surbrunnsgatan 54,Lägenhet
25 jan 2017,109 677 kr/m²,3 400 000 kr,31 m²,3 tr,1 rum,Vasastan,Karlbergsvägen 53A,Lägenhet
25 jan 2017,84 420 kr/m²,5 825 000 kr,69 m²,4 tr,2 rum,Vasastan,Roslagsgatan 32,Lägenhet
25 jan 2017,77 126 kr/m²,13 420 000 kr,174 m²,4 tr,6 rum,Vasastan,Upplandsgatan 23,Lägenhet
25 jan 2017,107 179 kr/m²,4 180 000 kr,39 m²,3 tr,2 rum,Vasastan Odenplan,Karlbergsvägen 27C,Lägenhet
25 jan 2017,84 375 kr/m²,4 725 000 kr,56 m²,3 tr,2 rum,Vasastan,Dannemoragatan 18,Lägenhet
25 jan 2017,135 217 kr/m²,3 110 000 kr,23 m²,1 tr,1 rum,Vasastan,Atlasgatan 12,Lägenhet
25 jan 2017,99 274 kr/m²,6 155 000 kr,62 m²,1 tr,2½ rum,Vasastan,Robert Almströmsgatan 10,Lägenhet
